ID,Name,Gender,Birthday,Death,Age,Child in,Spouse in
@US22_I1@,Bob /Smith/,M,2 FEB 1960,Alive,57,???,@US22_F1@
@US22_I1@,Alexa /Johnson/,F,1 JAN 1961,Alive,56,???,@US22_F1@
@US23/251@,Like /Vegas/,M,1 JAN 2000,Alive,17,???,@US23/251@
@US23/252@,Kike /Vegan/,F,1 JAN 2000,Alive,17,???,@US23/251@
@US23/253@,Dike /Vegas/,M,1 JAN 2016,Alive,1,@US23/251@,None
@US23/254@,Dike /Vegas/,M,1 JAN 2016,Alive,1,@US23/251@,@US23/252@
@US23/255@,Jike /Vegan/,F,1 JAN 2016,Alive,1,???,@US23/252@
@US23/256@,Bike /Vegas/,F,1 JAN 2016,Alive,1,@US23/252@,None
@US42_I1@,Invalid /Date/,M,30 FEB 2015,1 JAN 2017,1,???,None
@Q1@,Like /Vegas/,M,1 JAN 2000,Alive,17,???,@K1@
@Q2@,Kike /Vegan/,F,1 JAN 2000,Alive,17,???,@K1@
@Q3@,Dike /Vegaas/,M,1 JAN 2016,Alive,1,@K1@,None
@Q4@,Dike /Vegas/,M,1 JAN 2016,Alive,1,@K1@,@K2@
@Q5@,Jike /Vegan/,F,1 JAN 2016,Alive,1,???,@K2@
@Q6@,Bike /Vegas/,F,1 JAN 2016,Alive,1,@K2@,None
